Threads,Time1,Time2,Time3,Time4,Time5
1,199323,199953,199058,198763,199106
2,51880,52958,52898,52503,52271
3,36507,36518,40594,36931,37587
4,28939,29956,28495,29551,29689
5,31526,30002,25011,29034,25833
6,22015,23120,21443,22085,22128
7,19996,19999,20003,22885,23516
8,17697,18513,18380,19462,20162
9,17001,17767,16995,16694,18035
10,17367,16928,17056,17034,17205
11,15020,15067,15826,15381,16098
12,14487,15383,14753,14440,15135
13,14571,14370,14625,14411,14545
14,13890,14075,13980,14174,13965
15,13726,14028,13795,13468,13810
16,13159,13756,13237,13389,13794