Threads,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10
1,194477,193488,197678,194434,193816,192539,194349,194497,193865,194729
2,54492,54625,53909,57910,54147,55395,53657,53826,54079,54162
3,38534,42496,38449,38529,38751,39427,44692,38083,38887,38521
4,32096,31165,30672,31252,30789,32254,31020,34378,32649,30663
5,28409,27562,28047,27175,26972,26913,28041,28964,27770,28297
6,25159,25925,24251,25121,25025,24996,26325,24267,23976,25550
7,22343,22829,22317,23397,22129,22929,21828,22201,23696,22788
8,21857,21312,21539,21068,21032,20879,21734,21671,21035,21389
9,20923,20372,20801,21484,20830,20585,20846,20706,20788,21241
10,20089,20437,20418,20123,20492,20773,20169,20138,20045,19381
11,19860,19405,19533,20038,19306,19420,20042,19686,19389,19382
12,19992,18549,19293,19610,19071,18692,19082,19041,19494,19214
13,19040,19395,19105,18862,19306,18865,18738,18884,19529,18830
14,18842,18672,18960,18959,18564,18795,18663,18939,18071,19299
15,18746,18801,19436,18625,19216,18587,19196,18564,18250,18973
16,18888,18558,18426,18759,18709,18539,18741,18709,18767,18426